accountsservice 0.6.55-1
w3m 0.5.3.git20190105-1
wget 1.20.3-2
whatsapp-nativefier-dark 0.20200116224810-5
which 2.21-5
wmutils 1:1.4-1
wpa_supplicant 2:2.9-5
xautolock 2.2-5
xclip 0.13-2
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-2
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.29.0-1
xf86-input-void 1.4.1-4
xf86-video-amdgpu 19.1.0-1
xf86-video-ati 1:19.1.0-1
xf86-video-intel 1:2.99.917+899+gf66d3954-1
xf86-video-nouveau 1.0.16-1
xfce4-power-manager 1.6.5-2
xfsprogs 5.4.0-1
xorg-server 1.20.7-1
xorg-server-xephyr 1.20.7-1
xorg-twm 1.0.10-1
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xkill 1.0.5-1
xorg-xprop 1.2.4-1
xterm 353-1
xz 5.2.4-2
yay 9.4.4-1
youtube-viewer 1:3.7.4-2
zensu 0.1-1
zsh 5.8-1
